"filename", "language", "JSON", "XML", "Log", "C#", "YAML", "Markdown", "CSS", "PowerShell", "Properties", "comment", "blank", "total"
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\InvalidChannelEventParameterValuePolicy.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 14, 3, 26
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\InvalidChunkSizePolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 2, 20
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\InvalidMetaEventParameterValuePolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 11, 2, 21
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\InvalidSystemCommonEventParameterValuePolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 11, 2, 21
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\MissedEndOfTrackPolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 15, 2, 25
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\NoHeaderChunkPolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 11, 2, 21
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\NotEnoughBytesPolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 11, 2, 21
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\ReaderSettings.cs", "C#", 0, 0, 0, 70, 0, 0, 0, 0, 0, 54, 19, 143
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\ReadingSettings.cs", "C#", 0, 0, 0, 169, 0, 0, 0, 0, 0, 183, 42, 394
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\SilentNoteOnPolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 2, 20
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnexpectedTrackChunksCountPolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 2, 20
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChannelEventAction.cs", "C#", 0, 0, 0, 29, 0, 0, 0, 0, 0, 21, 15, 65
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChannelEventCallback.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 7, 2, 14
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChannelEventInstruction.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 9, 2, 19
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChannelEventPolicy.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 20, 5, 36
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownChunkIdPolicy.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 13, 3, 25
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\UnknownFileFormatPolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 2, 20
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\ReadingSettings\ZeroLengthDataPolicy.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 2, 20
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\TimeDivision\SmpteTimeDivision.cs", "C#", 0, 0, 0, 63, 0, 0, 0, 0, 0, 46, 22, 131
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\TimeDivision\TicksPerQuarterNoteTimeDivision.cs", "C#", 0, 0, 0, 62, 0, 0, 0, 0, 0, 47, 25, 134
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\TimeDivision\TimeDivision.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 21, 4, 35
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\TimeDivision\TimeDivisionFactory.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\ArrayUtilities.cs", "C#", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 8, 33
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\ControlUtilities.cs", "C#", 0, 0, 0, 33, 0, 0, 0, 0, 0, 28, 10, 71
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\FileUtilities.cs", "C#", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 18, 90
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\MidiFileUtilities.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 9, 6, 36
"e:\PROGS\Piano-Journey\Piano Journey\Assets\MIDI\drywetmidi-5.2.1\DryWetMidi\Core\Utilities\NoteEventUtilities.cs", "C#", 0, 0, 0, 34, 0, 0, 0, 0, 0, 56, 11, 101
